2020-01-16 09:25:15 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.OAD8.PRESENT_VALUE
2020-01-16 09:25:15 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.OAD9.PRESENT_VALUE
2020-01-16 09:25:15 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.OAT.PRESENT_VALUE
2020-01-16 09:25:16 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.OATHIGH.PRESENT_VALUE
2020-01-16 09:25:16 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.OATLOW.PRESENT_VALUE
2020-01-16 09:25:16 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.VENT.PRESENT_VALUE
2020-01-16 09:25:16 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.W10ST.PRESENT_VALUE
2020-01-16 09:25:16 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.W11ST.PRESENT_VALUE
2020-01-16 09:25:16 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.W12ST.PRESENT_VALUE
2020-01-16 09:25:16 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.W13ST.PRESENT_VALUE
2020-01-16 09:25:16 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.W14ST.PRESENT_VALUE
2020-01-16 09:25:16 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.W1ST.PRESENT_VALUE
2020-01-16 09:25:16 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.W2ST.PRESENT_VALUE
2020-01-16 09:25:16 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.W3ST.PRESENT_VALUE
2020-01-16 09:25:16 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.W4ST.PRESENT_VALUE
2020-01-16 09:25:16 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.W5ST.PRESENT_VALUE
2020-01-16 09:25:16 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.W6ST.PRESENT_VALUE
2020-01-16 09:25:16 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.W7ST.PRESENT_VALUE
2020-01-16 09:25:16 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.W8ST.PRESENT_VALUE
2020-01-16 09:25:16 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.W9ST.PRESENT_VALUE
2020-01-16 09:25:16 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.WIN1.PRESENT_VALUE
2020-01-16 09:25:16 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.WIN10.PRESENT_VALUE
2020-01-16 09:25:16 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.WIN11.PRESENT_VALUE
2020-01-16 09:25:16 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.WIN12.PRESENT_VALUE
2020-01-16 09:25:16 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.WIN13.PRESENT_VALUE
2020-01-16 09:25:17 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.WIN14.PRESENT_VALUE
2020-01-16 09:25:17 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.WIN2.PRESENT_VALUE
2020-01-16 09:25:17 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.WIN3.PRESENT_VALUE
2020-01-16 09:25:17 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.WIN4.PRESENT_VALUE
2020-01-16 09:25:17 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.WIN5.PRESENT_VALUE
2020-01-16 09:25:17 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.WIN6.PRESENT_VALUE
2020-01-16 09:25:17 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.WIN7.PRESENT_VALUE
2020-01-16 09:25:17 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.WIN8.PRESENT_VALUE
2020-01-16 09:25:17 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.WIN9.PRESENT_VALUE
